CrimeType
THEFT OF IDENTITY
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
VEHICLE - STOLEN
BURGLARY
BURGLARY FROM VEHICLE
THEFT PLAIN - PETTY ($950 & UNDER)
INTIMATE PARTNER - SIMPLE ASSAULT
BATTERY - SIMPLE ASSAULT
VANDALISM - MISDEAMEANOR ($399 OR UNDER)
VEHICLE - ATTEMPT STOLEN
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
ROBBERY
FIREARMS RESTRAINING ORDER (FIREARMS RO)
BIKE - STOLEN
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
CRIMINAL THREATS - NO WEAPON DISPLAYED
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
BATTERY WITH SEXUAL CONTACT
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
VIOLATION OF COURT ORDER
ARSON
VIOLATION OF RESTRAINING ORDER
"THEFT, PERSON"
CONTEMPT OF COURT
INTIMATE PARTNER - AGGRAVATED ASSAULT
ATTEMPTED ROBBERY
LEWD/LASCIVIOUS ACTS WITH CHILD
OTHER MISCELLANEOUS CRIME
BRANDISH WEAPON
TRESPASSING
"BUNCO, ATTEMPT"
SHOPLIFTING - PETTY THEFT ($950 & UNDER)
"BURGLARY, ATTEMPTED"
DOCUMENT FORGERY / STOLEN FELONY
SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
FAILURE TO YIELD
BATTERY POLICE (SIMPLE)
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
CHILD NEGLECT (SEE 300 W.I.C.)
"RAPE, ATTEMPTED"
"BUNCO, GRAND THEFT"
CONTRIBUTING
PIMPING
OTHER ASSAULT
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
"RAPE, FORCIBLE"
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
DISCHARGE FIREARMS/SHOTS FIRED
EXTORTION
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
"BUNCO, PETTY THEFT"
RESISTING ARREST
VIOLATION OF TEMPORARY RESTRAINING ORDER
CHILD ANNOYING (17YRS & UNDER)
SHOTS FIRED AT INHABITED DWELLING
"BURGLARY FROM VEHICLE, ATTEMPTED"
THROWING OBJECT AT MOVING VEHICLE
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
ORAL COPULATION
SEXUAL PENETRATION W/FOREIGN OBJECT
LEWD CONDUCT
PICKPOCKET
CHILD STEALING
PURSE SNATCHING
THEFT FROM MOTOR VEHICLE - ATTEMPT
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
INDECENT EXPOSURE
DISHONEST EMPLOYEE - PETTY THEFT
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
KIDNAPPING
DISTURBING THE PEACE
UNAUTHORIZED COMPUTER ACCESS
CRIMINAL HOMICIDE
THEFT PLAIN - ATTEMPT
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
LYNCHING
RECKLESS DRIVING
THREATENING PHONE CALLS/LETTERS
SHOPLIFTING - ATTEMPT
BOMB SCARE
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
STALKING
DRIVING WITHOUT OWNER CONSENT (DWOC)
BATTERY ON A FIREFIGHTER
PEEPING TOM
FALSE POLICE REPORT
BOAT - STOLEN
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
ILLEGAL DUMPING
"DRUGS, TO A MINOR"
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
"CREDIT CARDS, FRAUD USE ($950 & UNDER"
"MANSLAUGHTER, NEGLIGENT"
THEFT FROM PERSON - ATTEMPT
KIDNAPPING - GRAND ATTEMPT
"THEFT, COIN MACHINE - ATTEMPT"
PETTY THEFT - AUTO REPAIR
DOCUMENT WORTHLESS ($200 & UNDER)
FALSE IMPRISONMENT
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
CHILD PORNOGRAPHY
PANDERING
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
CRUELTY TO ANIMALS
COUNTERFEIT
DISHONEST EMPLOYEE - GRAND THEFT
PROWLER
DOCUMENT WORTHLESS ($200.01 & OVER)
WEAPONS POSSESSION/BOMBING
GRAND THEFT / AUTO REPAIR
CONSPIRACY
DRUNK ROLL
LYNCHING - ATTEMPTED
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
DISRUPT SCHOOL
TILL TAP - PETTY ($950 & UNDER)
"PICKPOCKET, ATTEMPT"
GRAND THEFT / INSURANCE FRAUD
TILL TAP - GRAND THEFT ($950.01 & OVER)
PURSE SNATCHING - ATTEMPT
BIKE - ATTEMPTED STOLEN
BRIBERY
CHILD ABANDONMENT
TELEPHONE PROPERTY - DAMAGE
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
BIGAMY
FAILURE TO DISPERSE
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
BLOCKING DOOR INDUCTION CENTER
INCITING A RIOT
DISHONEST EMPLOYEE ATTEMPTED THEFT
TRAIN WRECKING
DRUNK ROLL - ATTEMPT
